CWRC ID,URI,Primary Title,Alternative Title,Other Title,No Type Title,Orlando Record Identifier,Counts,Count_primary,Count_alternative,Count_other,Count_none,Count_all
ea3ef211-686a-4324-80f2-03c76d96e54e,https://commons.cwrc.ca/orlando:ea3ef211-686a-4324-80f2-03c76d96e54e,Foreword,,,,8192,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ea439a49-ee2d-46b7-b3ed-2537b550a48f,https://commons.cwrc.ca/orlando:ea439a49-ee2d-46b7-b3ed-2537b550a48f,Whitefriars,"Whitefriars; or, The Days of Charles the Second. An Historical Romance",,,102823,"{'all': 2, 'primary': 1, 'alternative': 1, 'none': 0, 'other': 0}",1,1,0,0,2
ea44cc7d-6d1c-486b-87aa-c4ebadf0db61,https://commons.cwrc.ca/orlando:ea44cc7d-6d1c-486b-87aa-c4ebadf0db61,The Encyclopedia of Military History: From 3500 B.C. to the Present,,,,3487,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ea456b94-bc03-4fec-bc2e-276912902ed2,https://commons.cwrc.ca/orlando:ea456b94-bc03-4fec-bc2e-276912902ed2,A Biographical Sketch of the Most Distinguished Writers of Ancient and Modern Times,,,,86445,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ea459400-e2c3-4ba9-8a17-a6a4fcb19c3b,https://commons.cwrc.ca/orlando:ea459400-e2c3-4ba9-8a17-a6a4fcb19c3b,The Second Common Reader,"The Common Reader, Second Series",,,7150,"{'all': 2, 'primary': 1, 'alternative': 1, 'none': 0, 'other': 0}",1,1,0,0,2
ea481f2e-6647-4d88-96a3-c8c80d9bd80c,https://commons.cwrc.ca/orlando:ea481f2e-6647-4d88-96a3-c8c80d9bd80c,The Humbler Creation,,,,104777,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ea4a1ec8-eb9c-4410-88cc-4d26961abb94,https://commons.cwrc.ca/orlando:ea4a1ec8-eb9c-4410-88cc-4d26961abb94,Looking for Githa,,,,61892,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ea4b9c0a-3390-4ffe-adc7-86ca8c73449d,https://commons.cwrc.ca/orlando:ea4b9c0a-3390-4ffe-adc7-86ca8c73449d,Bodleian Library Manuscript Catalogue: Duke Humfrey's Library,,,,14925,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ea4c49ec-aae7-455a-a807-9a7884680717,https://commons.cwrc.ca/orlando:ea4c49ec-aae7-455a-a807-9a7884680717,The Penguin Dictionary of Theatre,,,,110015,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ea4e336f-221d-4ce5-9c23-545b1407f554,https://commons.cwrc.ca/orlando:ea4e336f-221d-4ce5-9c23-545b1407f554,Mrs. Meynell and her Literary Generation,,,,19810,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ea4efa38-d75b-4558-a5f6-e844e2d3485a,https://commons.cwrc.ca/orlando:ea4efa38-d75b-4558-a5f6-e844e2d3485a,Introduction,,,,108159,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ea524099-f569-44d2-9f0b-8699f3d6479d,https://commons.cwrc.ca/orlando:ea524099-f569-44d2-9f0b-8699f3d6479d,Rebel Advocate,Rebel Advocate: A Biography of Gerald Gardiner,,,37385,"{'all': 2, 'primary': 1, 'alternative': 1, 'none': 0, 'other': 0}",1,1,0,0,2
ea54a3ed-968f-4c08-85c9-4f97ae362d1b,https://commons.cwrc.ca/orlando:ea54a3ed-968f-4c08-85c9-4f97ae362d1b,The Splendid Fairing,,,,31171,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ea557295-fdb4-4882-8bb6-64e48eea3a54,https://commons.cwrc.ca/orlando:ea557295-fdb4-4882-8bb6-64e48eea3a54,Email to Women's History Network List,,,,67466,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ea5797bf-f950-43e0-a9a7-bf6ed345982b,https://commons.cwrc.ca/orlando:ea5797bf-f950-43e0-a9a7-bf6ed345982b,From the Four Winds,From the Four Winds: Tales.,,,63345,"{'all': 2, 'primary': 1, 'alternative': 1, 'none': 0, 'other': 0}",1,1,0,0,2
ea58e041-92ed-47e9-b3cb-75ccca0e16fc,https://commons.cwrc.ca/orlando:ea58e041-92ed-47e9-b3cb-75ccca0e16fc,Afternoon of a Good Woman,,,,26046,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ea5947c9-b688-4776-b257-2c2eb300e828,https://commons.cwrc.ca/orlando:ea5947c9-b688-4776-b257-2c2eb300e828,Seven Ways of Voyaging Round Virgina Woolf's  The Voyage Out,,,,12569,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ea598a45-d771-4f8c-a6f7-2f0a2938d1b0,https://commons.cwrc.ca/orlando:ea598a45-d771-4f8c-a6f7-2f0a2938d1b0,Sleep in Peace,,,,103529,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ea5add32-977a-4aa4-9400-852f126d55c7,https://commons.cwrc.ca/orlando:ea5add32-977a-4aa4-9400-852f126d55c7,Sweet and Sour Commodities: Nineteenth-Century Valentines in the John Johnson Collection of Ephemera,,,,68107,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
