Label,External URI
"Emily Faithfull",http://viaf.org/viaf/31167959
"Enitharmon Press",http://viaf.org/viaf/130257644
"Ernest Benn",http://viaf.org/viaf/167993560
"Evans Brothers",http://viaf.org/viaf/311118748
"Eveleigh Nash and Grayson",http://viaf.org/viaf/134164875
"Eveleigh Nash",http://viaf.org/viaf/138847498
"Eyre Methuen",http://viaf.org/viaf/7165322385916020178
"Eyre and Spottiswoode",http://viaf.org/viaf/127130809
"F. Bonnaire",http://viaf.org/viaf/51686108
"F. C. and J. Rivington",http://viaf.org/viaf/149019905
"F. Houlston and Son",http://viaf.org/viaf/148023349
"F. S. Ellis",http://viaf.org/viaf/5770911
"F. V. White",http://viaf.org/viaf/148137300
"F. Warne",http://viaf.org/viaf/278497987
"F. Westley and A. H. Davis",http://viaf.org/viaf/159820037
"F.V. White",http://viaf.org/viaf/148137300
"Fabian Society",http://viaf.org/viaf/139553701
"Facts on File",http://viaf.org/viaf/158346573
"Fairleigh Dickinson University Press",http://viaf.org/viaf/152544929
"Farrar, Straus and Giroux",http://viaf.org/viaf/129171041
"Farrar, Straus, Giroux",http://viaf.org/viaf/129171041
"Fayard",http://viaf.org/viaf/312738991
"Fields, Osgood",http://viaf.org/viaf/136341792
"Fig Tree",http://viaf.org/viaf/11152682479623310486
"Fisher",http://viaf.org/viaf/137102179
"Flamingo",http://viaf.org/viaf/146649027
"Folio Press",http://viaf.org/viaf/130276384
"Folio Society",http://viaf.org/viaf/130276384
"Fortune Press",http://viaf.org/viaf/123241335
"Four Courts Press",http://viaf.org/viaf/155184733
"Fourth Estate",http://viaf.org/viaf/311354936
"Frank Cass",http://viaf.org/viaf/158876127
"Frederick A. Stokes",http://viaf.org/viaf/131785575
"Frederick Muller",http://viaf.org/viaf/311377972
"Frederick Warne",http://viaf.org/viaf/278497987
"Free Press",http://viaf.org/viaf/311352319
"Freethought Publishing",http://viaf.org/viaf/144765371
"Fremantle Arts Centre Press",http://viaf.org/viaf/262511249
"G. Allen and Unwin",http://viaf.org/viaf/141922044
"G. Bell and Sons",http://viaf.org/viaf/135166554
"G. Duckworth",http://viaf.org/viaf/144762049
"G. G. J. and J. Robinson",http://viaf.org/viaf/121289363
"G. G. and J. Robinson",http://viaf.org/viaf/121292667
"G. K. Hall and Maxwell Macmillan",http://viaf.org/viaf/149331633
"G. K. Hall",http://viaf.org/viaf/157127303
"G. P. Putnam",http://viaf.org/viaf/148998778
"G. P. Putnam's Sons",http://viaf.org/viaf/148998778
"G. Richards",http://viaf.org/viaf/158745426
"G. Routledge and Sons",http://viaf.org/viaf/146326081
"G. Routledge",http://viaf.org/viaf/146326081
"G. W. Carleton",http://viaf.org/viaf/121293252
"G. and W. B. Whittaker",http://viaf.org/viaf/121292050
"Gale Group",http://viaf.org/viaf/150761751
"Gale Research",http://viaf.org/viaf/150761751
"Gale",http://viaf.org/viaf/150761751
"Gall and Inglis",http://viaf.org/viaf/168200157
"Gallimard",http://viaf.org/viaf/266381764
"Garland Publishing",http://viaf.org/viaf/154887734
"Garland",http://viaf.org/viaf/154887734
"Geoffrey Bles",http://viaf.org/viaf/311354022
"George Allen and Unwin",http://viaf.org/viaf/141922044
"George Bell and Sons",http://viaf.org/viaf/135166554
"George Bell",http://viaf.org/viaf/135166554
"George G. Harrap",http://viaf.org/viaf/126965936
"George H. Doran",http://viaf.org/viaf/140800687
"George Newnes",http://viaf.org/viaf/168471063
"George Redway",http://viaf.org/viaf/124791143
"George Routledge and Sons",http://viaf.org/viaf/146326081
"George Routledge",http://viaf.org/viaf/146326081
"Gill and Macmillan",http://viaf.org/viaf/169837938
"Golgonooza Press",http://viaf.org/viaf/144693767
"Gowans and Gray",http://viaf.org/viaf/129146094369900332992
"Granada",http://viaf.org/viaf/264265782
"Grant Richards",http://viaf.org/viaf/158745426
"Grant and Griffith",http://viaf.org/viaf/136415249
"Granta Books",http://viaf.org/viaf/173251676
"Granta",http://viaf.org/viaf/173251676
"Greenwood Press",http://viaf.org/viaf/157201525
"Griffith and Farran",http://viaf.org/viaf/155126472
"Groombridge and Sons",http://viaf.org/viaf/132881385
"Groombridge",http://viaf.org/viaf/132881385
"Grove Press",http://viaf.org/viaf/152418237
"Grove",http://viaf.org/viaf/152418237
"Guardian News and Media",http://viaf.org/viaf/33165265326010192783
