RDF Type,uri,Official Label,alt label #0,alt label #1,alt label #2,alt label #3,alt label #4,alt label #5,alt label #6,alt label #7,alt label #8,alt label #9,alt label #10,alt label #11,alt label #12,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/GeographicHeritage,https://sws.geonames.org/6255148,European,European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/GeographicHeritage,https://sws.geonames.org/6269131,England,England,English,north of England,northern English,London,Londoner,northern england,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/GeographicHeritage,https://sws.geonames.org/6951102,Italy,Italy,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/GeographicHeritage,https://sws.geonames.org/7729891,Caribbean,Caribbean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/GeographicHeritage,https://sws.geonames.org/8502102,New England,New England,New Englander,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/GeographicHeritage,https://sws.geonames.org/8581589,Yorkshire,Yorkshirewoman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/GeographicHeritage,https://sws.geonames.org/953987,South Africa,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/ara,Arabic,arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/ben,Bengali,bengali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/bul,Bulgarian,bulgarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/chi,Chinese,chinese,cantonese,mandarin,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/cze,Czech,czech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/eng,English,english,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/fre,French,french,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/ger,German,german,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/gla,Gaelic,gaelic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/gle,Irish,irish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/guj,Gujarati,gujarati,guzerati,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/heb,Hebrew,hebrew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/hin,Hindi,hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/ita,Italian,italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/jpn,Japanese,Japanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/kan,Kanarese,kanarese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/lat,Latin,latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/mar,Marathi,marathi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/may,Malay,malay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/per,Persian,persian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/pli,Pali,pali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/pol,Polish,Polish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/rus,Russian,russian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/san,Sanskrit,sanskrit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/spa,Spanish,spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/tha,Thai,thai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/ukr,Ukrainian,Ukrainian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/urdu,Hindustani,hindustani,Urdu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/wel,Welsh,welsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://id.lincsproject.ca/identity/africanNationalHeritage,African,Africain,African,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://id.lincsproject.ca/identity/anglo-IrishNationalHeritage,Anglo-Irish,Anglo-Irish,Anglo-irlandais,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://id.lincsproject.ca/identity/bengaliNationalHeritage,bengali,Bengale,bengali,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://id.lincsproject.ca/identity/camisards,Camisards,French Prophets,Camisard,Camisards,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://id.lincsproject.ca/identity/cornishNationalHeritage,Cornish,Corniques,Cornish,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://id.lincsproject.ca/identity/dutchNationalHeritage,Dutch,Dutch,Néerlandais,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://id.lincsproject.ca/identity/europeanNationalHeritage,European,European,Européen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://id.lincsproject.ca/identity/flemishNationalHeritage,Flemish,Flandre,Flemish,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://id.lincsproject.ca/identity/huguenotNationalHeritage,Huguenot,Huguenot,Huguenot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://id.lincsproject.ca/identity/iroquoisNationalHeritage,Iroquois,Iroquois,Iroquois,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://id.lincsproject.ca/identity/jewishNationalHeritage,Jewish,Jewish,Juif,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://id.lincsproject.ca/identity/mohawkNationalHeritage,Mohawk,Mohawk,Mohawks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://id.lincsproject.ca/identity/normanNationalHeritage,Norman,Norman,Normand,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://id.lincsproject.ca/identity/tatarNationalHeritage,Tatar,Tatar,Tatars,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://id.lincsproject.ca/identity/westIndianNationalHeritage,West Indian,West Indian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300015776,Nigerian,nigerian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300018863,Indian (South Asian),indian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300021959,New Zealand,new zealander,new zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300107948,Cuban,cuban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300107950,Jamaican,jamaican,jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300107956,American (North American),american,america,usa,us,united states,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300107962,Canadian,canadian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300107967,Brazilian,Brazilian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300107971,Peruvian,peruvian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111153,Austrian,austrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111156,Belgian (modern),Belgian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111159,British (modern),british,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111163,Bulgarian (culture or style),bulgarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111172,Danish (culture or style),danish,denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111175,Dutch (culture or style),netherlands,the netherlands,dutch,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111178,English (culture or style),english,englishwoman,england,english born,english father,half english,northern english,anglo,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111188,French (culture or style),french,french extraction,french mother,half french,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111192,"German (culture, style, period)",german,germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111195,Hungarian,hungarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111198,Italian (culture or style),italian,italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
