Orlando Tag,Predicate Type,Attribute Type,Attribute Value,Include Empty Attribute,Domain Type,Range Type,Context Type,Specific Property,Generic Property,Function Type,Custom Instructions,Questions,Key
PMOTIVES,Descriptive,MOTIVETYPE,NONE,TRUE,Work ELSE Entry Subject,String,WritingConditionsContext,c_hasWritingMotive,c_hasWritingConditionsRelationTo,Standard,Need to handle no attribute,,PMOTIVESDescriptiveMOTIVETYPENONE
PMOTIVES,Embedded Entities,,,,Work ELSE Entry Subject,All Named Entities,WritingConditionsContext,c_hasWritingMotiveRelationTo,c_hasWritingConditionsRelationTo,Standard,,,PMOTIVESEmbedded Entities
PNONBOOKMEDIA,Descriptive,,,,Work ELSE Entry Subject,String,PublishingContext,c_hasNonPrintMedia,c_hasProductionRelationTo,Standard,,,PNONBOOKMEDIADescriptive
PNONBOOKMEDIA,Embedded Entities,,,,Work ELSE Entry Subject,All Named Entities,PublishingContext,c_hasNonPrintMediaRelationTo,c_hasProductionRelationTo,Standard,,,PNONBOOKMEDIAEmbedded Entities
PNONSURVIVAL,Embedded Entities,,,,Entry Subject,cwrc:LostCreativeWork,TextualHistoryContext,c_hasDestroyedWork,c_hasTextualHistoryRelationTo,Custom,Create Lost Work,,PNONSURVIVALEmbedded Entities
PPERFORMANCE,Descriptive,,,,Entry Subject,String,PerformanceContext,c_hasPerformance,c_hasProductionRelationTo,Standard,,,PPERFORMANCEDescriptive
PPERFORMANCE,Embedded Entities,,,,Entry Subject,All Named Entities,PerformanceContext,c_hasPerformanceRelationTo,c_hasProductionRelationTo,Standard,,,PPERFORMANCEEmbedded Entities
PPERIODICALPUBLICATION,Descriptive,,,,Entry Subject,String,PublishingContext,c_hasPeriodicalPublication,c_hasPeriodicalPublicationRelationTo,Standard,,,PPERIODICALPUBLICATIONDescriptive
PPERIODICALPUBLICATION,Embedded Entities,,,,Entry Subject,All Named Entities,PublishingContext,c_hasPeriodicalPublicationRelationTo,c_hasProductionRelationTo,Standard,,,PPERIODICALPUBLICATIONEmbedded Entities
PPLACEOFPUBLICATION,Embedded Entities,,,,Work ELSE Entry Subject Ouvre,Places,PublishingContext,c_hasPlaceOfPublication,c_hasWritingRelationTo,Standard,,,PPLACEOFPUBLICATIONEmbedded Entities
PPRESSRUN,Descriptive,,,,Work ELSE Entry Subject,String,PublishingContext,c_hasPressRun,c_hasProductionRelationTo,Standard,,,PPRESSRUNDescriptive
PRARITIESFEATURESDECORATIONS,Descriptive,,,,Work ELSE Entry Subject,String,PublishingContext,c_hasMaterialExpression,c_hasProductionRelationTo,Standard,,,PRARITIESFEATURESDECORATIONSDescriptive
PRARITIESFEATURESDECORATIONS,Embedded Entities,,,,Work ELSE Entry Subject,All Named Entities,PublishingContext,c_hasMaterialExpressionRelationTo,c_hasProductionRelationTo,Standard,,,PRARITIESFEATURESDECORATIONSEmbedded Entities
PRELATIONSWITHPUBLISHER,Attributes,RELATIONSHIPTYPE,PERSONAL,,Entry Subject,String,PublishingContext,c_hasPersonalPublishingRelationship,c_hasProductionRelationTo,Standard,,,PRELATIONSWITHPUBLISHERAttributesRELATIONSHIPTYPEPERSONAL
PRELATIONSWITHPUBLISHER,Attributes,RELATIONSHIPTYPE,PROFESSIONAL,,Entry Subject,String,PublishingContext,c_hasProfessionalPublishingRelationship,c_hasProductionRelationTo,Standard,,,PRELATIONSWITHPUBLISHERAttributesRELATIONSHIPTYPEPROFESSIONAL
PRELATIONSWITHPUBLISHER,Descriptive,RELATIONSHIPTYPE,None,,Entry Subject,String,PublishingContext,c_hasPublishingRelationship,c_hasProductionRelationTo,Standard,,,PRELATIONSWITHPUBLISHERDescriptiveRELATIONSHIPTYPENone
PRELATIONSWITHPUBLISHER,Embedded Entities,,,,Entry Subject,All Named Entities,PublishingContext,c_hasPublishingRelationTo,c_hasProductionRelationTo,Standard,,,PRELATIONSWITHPUBLISHEREmbedded Entities
PRODUCTION,Descriptive,,,,,,ProductionContext,c_hasTextualProduction,c_hasWritingRelationTo,Custom,,,PRODUCTIONDescriptive
PRODUCTION,Embedded Entities,,,,,,ProductionContext,c_hasProductionRelationTo,c_hasWritingRelationTo,Custom,,,PRODUCTIONEmbedded Entities
PSERIALIZATION,Descriptive,,,,Entry Subject,String,PublishingContext,c_hasSerialization,c_hasPublicationMode,Standard,,,PSERIALIZATIONDescriptive
PSERIALIZATION,Embedded Entities,,,,Entry Subject,All Named Entities,PublishingContext,c_hasSerializationRelationTo,c_hasPublicationMode,Standard,,,PSERIALIZATIONEmbedded Entities
PSERIALIZATION,Embedded Entities,,,,Work,Genre:Form,PublishingContext,,,Custom,"This may need to be moved out of here and handled separately just as typing of serial works genre:serialVolume genre:serialPeriodical",,PSERIALIZATIONEmbedded Entities
PSUBMISSIONSREJECTIONS,Descriptive,,,,Work ELSE Entry Subject,String,PublishingContext,c_hasPublicationSubmission,c_hasProductionRelationTo,Standard,,,PSUBMISSIONSREJECTIONSDescriptive
PSUBMISSIONSREJECTIONS,Embedded Entities,,,,Work ELSE Entry Subject,All Named Entities,PublishingContext,c_hasPublicationSubmissionRelationTo,c_hasProductionRelationTo,Standard,,,PSUBMISSIONSREJECTIONSEmbedded Entities
RBESTKNOWNWORK,Embedded Entities,,,,Entry Subject,Work,ReceptionContext,c_hasBestKnownWork,c_hasReceptionRelationTo,Standard,,,RBESTKNOWNWORKEmbedded Entities
RFICTIONALIZATION,Descriptive,,,,Entry Subject,String,IntertextualityContext,c_hasFictionalization,c_hasFictionalizationRelationTo,Standard,,,RFICTIONALIZATIONDescriptive
RFICTIONALIZATION,Embedded Entities,,,,Entry Subject,Author OR Work,IntertextualityContext,c_fictionalizedBy,c_hasFictionalizationRelationTo,Custom,"1)  When a FICTIONALIZATION tag contains the structure <NAME>'s <TITLE> then extract the following --a Person entity --a Work with that TITLE --a creation relationship between the two 2) When a FICTIONALIZATION tag contains only one NAME (other than that of the author of the entry) OR only one title, OR one or more of the <NAME>'s <TITLE> pattern SUBJECT:  author of the entry PREDICATE: fictionalizedBy OBJECT:  1) frbr:Work as derived above IF only one TITLE, or if more than one with the possessive pattern 2) foaf:Person if only one NAME","QUERY: Should we create for all named persons within the tag as well as for all texts, but NOT for named persons who are authors of texts? Or is it best to be redundant and extract the relationship for both the author of the fictionalizing work and the text by them in which the fictionalization occurs?",RFICTIONALIZATIONEmbedded Entities
RLANDMARKTEXT,Embedded Entities,,,,Entry Subject,Work,ReceptionContext,c_hasLandmarkText,c_hasReceptionRelationTo,Standard,,,RLANDMARKTEXTEmbedded Entities
RPENALTIES,Descriptive,,,,Work ELSE Entry Subject,String,ResponseContext,c_suffersWritingPenalty,c_hasResponseRelationTo,Standard,,,RPENALTIESDescriptive
RPENALTIES,Embedded Entities,,,,Work ELSE Entry Subject,All Named Entities,ResponseContext,c_hasWritingPenaltyRelationTo,c_hasResponseRelationTo,Standard,,,RPENALTIESEmbedded Entities
RRECOGNITIONNAME,Embedded Entities,,,,Work ELSE Entry Subject,cwrc:LiteraryAward,RecognitionContext,c_hasLiteraryAward,c_hasRecognitionRelationTo,Custom,Create Literary Award,Need to sort out what we're doing with awards,RRECOGNITIONNAMEEmbedded Entities
RRECOGNITIONS,Descriptive,,,,Work ELSE Entry Subject,String,RecognitionContext,c_receivesRecognition,c_hasRecognitionRelationTo,Standard,,,RRECOGNITIONSDescriptive
RRECOGNITIONVALUE,Descriptive,,,,Entry Subject,String,RecognitionContext,c_gainsLiteraryAwardValue,c_hasRecognitionRelationTo,Standard,,,RRECOGNITIONVALUEDescriptive
RSELFDESCRIPTION,Descriptive,,,,Entry Subject,String,ResponseContext,c_hasSelfDescription,c_hasResponseRelationTo,Standard,,,RSELFDESCRIPTIONDescriptive
RSHEINFLUENCED,Embedded Entities,,,,Entry Subject,All Named Entities,InfluenceContext,c_hasInfluenceOn,c_hasIntertextualRelationTo,Standard,,,RSHEINFLUENCEDEmbedded Entities
TCHARACTERIZATION,Descriptive,,,,Work,String,CharacterizationContext,c_hasCharacterization,c_hasCharacterizationRelationTo,Standard,,,TCHARACTERIZATIONDescriptive
TCHARACTERNAME,Descriptive,,,,Work,String,CharacterizationContext,c_hasCharacterName,c_hasCharacterizationRelationTo,Standard,,,TCHARACTERNAMEDescriptive
TCHARACTERNAME,Embedded Entities,,,,Work,Person,CharacterizationContext,c_hasCharacterType,c_hasCharacterizationRelationTo,Custom,,,TCHARACTERNAMEEmbedded Entities
TCHARACTERTYPEROLE,Attributes,PROTAGONIST,FEMALE,,Work ELSE Entry Subject Ouvre,String,CharacterizationContext,c_hasWomanProtagonistRole,c_hasCharacterizationRelationTo,Custom,Also create hasProtagonistType relationship between work and gender,,TCHARACTERTYPEROLEAttributesPROTAGONISTFEMALE
TCHARACTERTYPEROLE,Attributes,PROTAGONIST,MALE,,Work ELSE Entry Subject Ouvre,String,CharacterizationContext,c_hasManProtagonistRole,c_hasCharacterizationRelationTo,Custom,Also create hasProtagonistType relationship between work and gender,,TCHARACTERTYPEROLEAttributesPROTAGONISTMALE
TCHARACTERTYPEROLE,Descriptive,,,,Work,String,CharacterizationContext,c_characterRole,c_hasCharacterizationRelationTo,Custom,DO NOT extract if there is a PROTAGONIST attibute.,,TCHARACTERTYPEROLEDescriptive
TGENREISSUE,Embedded Entities,,,,Work ELSE Entry Subject Ouvre,genre:Genre,TextualFeaturesContext,c_hasEngagementWithGenre,c_hasTextualFeaturesRelationTo,Custom,,,TGENREISSUEEmbedded Entities
TINTERTEXTUALITY,Attributes,INTERTEXTTYPE,,,,,IntertextualityContext,c_hasIntertextualRelationTo,c_hasWritingRelationTo,Custom,,,TINTERTEXTUALITYAttributesINTERTEXTTYPE
TINTERTEXTUALITY,Attributes,INTERTEXTTYPE,ADAPTATION-UPDATE,,Work ELSE Entry Subject,People & Works,IntertextualityContext,c_adapts,c_hasIntertextualRelationTo,Custom,,,TINTERTEXTUALITYAttributesINTERTEXTTYPEADAPTATION-UPDATE
TINTERTEXTUALITY,Attributes,INTERTEXTTYPE,ALLUSIONACKNOWLEDGED,,Work ELSE Entry Subject,People & Works,IntertextualityContext,c_alludesExplicitlyTo,c_hasIntertextualRelationTo,Custom,,,TINTERTEXTUALITYAttributesINTERTEXTTYPEALLUSIONACKNOWLEDGED
TINTERTEXTUALITY,Attributes,INTERTEXTTYPE,ALLUSIONUNACKNOWLEDGED,,Work ELSE Entry Subject,People & Works,IntertextualityContext,c_alludesTo,c_hasIntertextualRelationTo,Custom,,,TINTERTEXTUALITYAttributesINTERTEXTTYPEALLUSIONUNACKNOWLEDGED
TINTERTEXTUALITY,Attributes,INTERTEXTTYPE,ANSWER,,Work ELSE Entry Subject,Work,IntertextualityContext,c_answers,c_hasIntertextualRelationTo,Custom,,,TINTERTEXTUALITYAttributesINTERTEXTTYPEANSWER
TINTERTEXTUALITY,Attributes,INTERTEXTTYPE,CONTINUATION,,Work,Work,IntertextualityContext,c_hasContinuation,c_hasIntertextualRelationTo,Custom,,,TINTERTEXTUALITYAttributesINTERTEXTTYPECONTINUATION
TINTERTEXTUALITY,Attributes,INTERTEXTTYPE,IMITATION,,Work ELSE Entry Subject,People & Works,IntertextualityContext,c_imitates,c_hasIntertextualRelationTo,Custom,,,TINTERTEXTUALITYAttributesINTERTEXTTYPEIMITATION
TINTERTEXTUALITY,Attributes,INTERTEXTTYPE,MISQUOTATION,,Work ELSE Entry Subject,People & Works,IntertextualityContext,c_misquotes,c_hasIntertextualRelationTo,Custom,,,TINTERTEXTUALITYAttributesINTERTEXTTYPEMISQUOTATION
TINTERTEXTUALITY,Attributes,INTERTEXTTYPE,PARODY,,Work ELSE Entry Subject,People & Works,IntertextualityContext,c_parodies,c_hasIntertextualRelationTo,Custom,,,TINTERTEXTUALITYAttributesINTERTEXTTYPEPARODY
TINTERTEXTUALITY,Attributes,INTERTEXTTYPE,PREQUEL,,Work,Work,IntertextualityContext,c_hasPrequel,c_hasIntertextualRelationTo,Custom,,,TINTERTEXTUALITYAttributesINTERTEXTTYPEPREQUEL
TINTERTEXTUALITY,Attributes,INTERTEXTTYPE,QUOTATION,,Work ELSE Entry Subject,People & Works,IntertextualityContext,c_quotes,c_hasIntertextualRelationTo,Custom,,,TINTERTEXTUALITYAttributesINTERTEXTTYPEQUOTATION
TINTERTEXTUALITY,Attributes,INTERTEXTTYPE,SATIRE,,Work ELSE Entry Subject,People & Works,IntertextualityContext,c_satirizes,c_hasIntertextualRelationTo,Custom,,,TINTERTEXTUALITYAttributesINTERTEXTTYPESATIRE
TPLOT,Descriptive,,,,Work,String,TextualFeaturesContext,c_hasPlotSummary,c_hasTextualFeaturesRelationTo,Custom,Only if there's one textscope,,TPLOTDescriptive
TSETTINGDATE,Attributes,SETTINGDATETYPE,,,Work,cwrc:SpatialSettingType,SettingContext,c_hasSpatialSettingType,c_hasTextualFeaturesRelationTo,Custom,,,TSETTINGDATEAttributesSETTINGDATETYPE
TSETTINGDATE,Descriptive,,,,Work,String,SettingContext,c_hasSetting,c_hasTextualFeaturesRelationTo,Standard,,,TSETTINGDATEDescriptive
TSETTINGDATE,Embedded Entities,,,,Work,All Named Entities,SettingContext,c_hasSettingRelationTo,c_hasTextualFeaturesRelationTo,Standard,,,TSETTINGDATEEmbedded Entities
TSETTINGPLACE,Attributes,SETTINGCLASS,,,Work,cwrc:SocialSettingType,SettingContext,c_hasSocialSettingType,c_hasTextualFeaturesRelationTo,Custom,,,TSETTINGPLACEAttributesSETTINGCLASS
TSETTINGPLACE,Attributes,TSETTINGPLACETYPE,,,Work,cwrc:SpatialSettingType,SettingContext,c_hasSpatialSettingType,c_hasTextualFeaturesRelationTo,Custom,,,TSETTINGPLACEAttributesTSETTINGPLACETYPE
TSETTINGPLACE,Descriptive,,,,Work,String,SettingContext,c_hasSetting,c_hasTextualFeaturesRelationTo,Standard,,,TSETTINGPLACEDescriptive
TSETTINGPLACE,Embedded Entities,,,,Work,All Named Entities,SettingContext,c_hasSettingRelationTo,c_hasTextualFeaturesRelationTo,Standard,,,TSETTINGPLACEEmbedded Entities
TTECHNIQUE,Attributes,TECHNIQUETYPE,AURALEFFECTS,,Work ELSE Entry Subject Ouvre,String,TextualFeaturesContext,c_hasAuralEffects,c_hasTextualFeaturesRelationTo,Custom,,,TTECHNIQUEAttributesTECHNIQUETYPEAURALEFFECTS
TTECHNIQUE,Attributes,TECHNIQUETYPE,DICTION,,Work ELSE Entry Subject Ouvre,String,TextualFeaturesContext,c_hasDiction,c_hasTextualFeaturesRelationTo,Custom,,,TTECHNIQUEAttributesTECHNIQUETYPEDICTION
TTECHNIQUE,Attributes,TECHNIQUETYPE,IMAGERY,,Work ELSE Entry Subject Ouvre,String,TextualFeaturesContext,c_hasImagery,c_hasTextualFeaturesRelationTo,Custom,,,TTECHNIQUEAttributesTECHNIQUETYPEIMAGERY
TTECHNIQUE,Attributes,TECHNIQUETYPE,NONSTANDARDENGLISH,,Work ELSE Entry Subject Ouvre,String,TextualFeaturesContext,c_hasNonStandardLanguage,c_hasTextualFeaturesRelationTo,Custom,,,TTECHNIQUEAttributesTECHNIQUETYPENONSTANDARDENGLISH
TTECHNIQUE,Attributes,TECHNIQUETYPE,NULL,,Work ELSE Entry Subject Ouvre,String,TextualFeaturesContext,,c_hasTextualFeaturesRelationTo,Custom,"To avoid duplication, do not create triple if there is a subpredicate of hasTechnique, or an annotation for engagesWithGenre; hasToneStyle; or hasVoiceOrNarration that would contain the same string. Only if one textscope or none",,TTECHNIQUEAttributesTECHNIQUETYPENULL
TTECHNIQUE,Attributes,TECHNIQUETYPE,VERSIFICATION,,Work ELSE Entry Subject Ouvre,String,TextualFeaturesContext,c_hasVersification,c_hasTextualFeaturesRelationTo,Custom,,,TTECHNIQUEAttributesTECHNIQUETYPEVERSIFICATION
TTHEMETOPIC,Descriptive,,,,Work ELSE Entry Subject Ouvre,String,ThematicContext,c_hasThemeOrTopic,c_ hasThemeRelationTo,Custom,SUBJECT: frbr: Work (use TEXTSCOPE); if used in AuthorSummary apply to Oeuvre; otherwise do not extract,,TTHEMETOPICDescriptive
TTONESTYLE,Descriptive,,,,Work ELSE Entry Subject Ouvre,String,TextualFeaturesContext,c_hasToneOrStyle,c_hasTextualFeaturesRelationTo,Standard,,,TTONESTYLEDescriptive
