orlando id,wikidata uri
dellet,http://www.wikidata.org/entity/Q4944529
dequth,http://www.wikidata.org/entity/Q317160
despch,http://www.wikidata.org/entity/Q432717
devlan,http://www.wikidata.org/entity/Q4768265
devoge,http://www.wikidata.org/entity/Q235644
dickem,http://www.wikidata.org/entity/Q4441
dickmo,http://www.wikidata.org/entity/Q273311
diltwi,http://www.wikidata.org/entity/Q60080
disrbe,http://www.wikidata.org/entity/Q82006
dixoel,http://www.wikidata.org/entity/Q5364510
dobesy,http://www.wikidata.org/entity/Q3540415
docwan,http://www.wikidata.org/entity/Q22997992
doregu,http://www.wikidata.org/entity/Q6682
dougel,http://www.wikidata.org/entity/Q55967072
dowime,http://www.wikidata.org/entity/Q554629
dowran,http://www.wikidata.org/entity/Q4768284
drabma,http://www.wikidata.org/entity/Q239307
drumma,http://www.wikidata.org/entity/Q18674222
dubefr,http://www.wikidata.org/entity/Q5434027
duffca,http://www.wikidata.org/entity/Q237994
duffma,http://www.wikidata.org/entity/Q6792669
dumada,http://www.wikidata.org/entity/Q193357
dunlel,http://www.wikidata.org/entity/Q21537252
dunnne,http://www.wikidata.org/entity/Q6990005
dysoke,http://www.wikidata.org/entity/Q28921814
edenem,http://www.wikidata.org/entity/Q5372152
edgima,http://www.wikidata.org/entity/Q6796494
egerge,http://www.wikidata.org/entity/Q273207
eliots,http://www.wikidata.org/entity/Q37767
ellic2,http://www.wikidata.org/entity/Q15921793
elligr,http://www.wikidata.org/entity/Q445005
elsana,http://www.wikidata.org/entity/Q238514
elwoan,http://www.wikidata.org/entity/Q18526497
emerra,http://www.wikidata.org/entity/Q48226
enrian,http://www.wikidata.org/entity/Q73176
equiol,None
evanka,http://www.wikidata.org/entity/Q18831211
evarbe,http://www.wikidata.org/entity/Q4893827
fagema,http://www.wikidata.org/entity/Q6779511
fairzo,http://www.wikidata.org/entity/Q14949115
falcan,http://www.wikidata.org/entity/Q4767295
fanevi,http://www.wikidata.org/entity/Q4102530
fansca,http://www.wikidata.org/entity/Q5052806
farjel,http://www.wikidata.org/entity/Q258669
fawcmi,http://www.wikidata.org/entity/Q442818
feinel,http://www.wikidata.org/entity/Q5353211
fellma,http://www.wikidata.org/entity/Q524860
fenwel,http://www.wikidata.org/entity/Q5362128
fernfa,http://www.wikidata.org/entity/Q3066458
fielhe,http://www.wikidata.org/entity/Q34190
fielsa,http://www.wikidata.org/entity/Q467935
figeev,http://www.wikidata.org/entity/Q216098
fishan,http://www.wikidata.org/entity/Q4766395
fitzed,http://www.wikidata.org/entity/Q532457
flaugu,http://www.wikidata.org/entity/Q43444
fletma,http://www.wikidata.org/entity/Q16857609
fordfo,http://www.wikidata.org/entity/Q537112
formch,http://www.wikidata.org/entity/Q18575987
forsjo,http://www.wikidata.org/entity/Q951193
fortma,http://www.wikidata.org/entity/Q6779568
fothje,http://www.wikidata.org/entity/Q17354425
franan,http://www.wikidata.org/entity/Q4768349
franpa,http://www.wikidata.org/entity/Q7129150
frasch,http://www.wikidata.org/entity/Q15983990
frekel,http://www.wikidata.org/entity/Q18528570
frouja,http://www.wikidata.org/entity/Q1679958
fry_ro,http://www.wikidata.org/entity/Q547470
fullma,http://www.wikidata.org/entity/Q257953
fygesa,http://www.wikidata.org/entity/Q7422320
galsjo,http://www.wikidata.org/entity/Q82248
gardsa,http://www.wikidata.org/entity/Q17355025
garrda,http://www.wikidata.org/entity/Q222390
gattma,http://www.wikidata.org/entity/Q1382113
gawtma,http://www.wikidata.org/entity/Q6779623
gemspa,http://www.wikidata.org/entity/Q4949774
gerado,http://www.wikidata.org/entity/Q3714361
gerska,http://www.wikidata.org/entity/Q15493199
gibbst,http://www.wikidata.org/entity/Q1252645
gidean,http://www.wikidata.org/entity/Q47484
gilban,http://www.wikidata.org/entity/Q4766705
gilmch,http://www.wikidata.org/entity/Q287752
glasha,http://www.wikidata.org/entity/Q531876
glovev,None
goddru,http://www.wikidata.org/entity/Q434735
godwwi,http://www.wikidata.org/entity/Q188569
gomean,None
goocel,http://www.wikidata.org/entity/Q27959672
gordna,None
goreev,http://www.wikidata.org/entity/Q5415056
graffr,http://www.wikidata.org/entity/Q449451
granel,http://www.wikidata.org/entity/Q1331206
gravcl,http://www.wikidata.org/entity/Q5135590
grayth,http://www.wikidata.org/entity/Q315516
