Subject,http://id.loc.gov/authorities/subjects/sh85007163,arithmetic,Arithmetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85007461,art,Art,graphic arts,mosaic art,perspective,plastic arts,print making,printing,significant form,china painting,appreciation of painting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85007488,art history,Art--History,history of art,egyptian art,greek art,italian art,italian artists,roman art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85008324,arts,Arts,lyricism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85008893,astrology,Astrology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85009003,astronomy,Astronomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85009153,athletics,Athletics,sport,sports,team sports,team games,tennis,boxing,football,basketball,field hockey,games,hockey,ice hockey,lacrosse,netball,rowing,rugby,skiing,mountain rescue,cricket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85011275,ballet,Ballet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/vocabulary/languages/bem,bemba,Bemba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/vocabulary/languages/ben,bengali,Bengali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85013576,bible,Bible,bible study,the bible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85013617,biblical criticism,"Bible--Criticism, interpretation, etc.",its commentators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85014152,biography,Biography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85014203,biology,Biology,genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh91005631,black history,African diaspora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85015705,bookbinding,Bookbinding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85015733,bookkeeping,Bookkeeping,keeping accounts,keeping of accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85015976,botany,Botany,study plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh94008942,braille,Braille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/vocabulary/languages/bre,breton,Breton Language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85016973,british literature,British literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/vocabulary/languages/bul,bulgarian,Bulgarian; Bulgarisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85018260,business,Business,business studies,commerce,entrepeneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85018371,butter making,Butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85046328,exercise,Exercise,callisthenics,physical education,running,calisthenics,exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85018955,calligraphy,Calligraphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85019388,canadian literature,Canadian literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85096148,outdoor recreation,Outdoor Recreation,canoeing,camping,fishing,fly fishing,sailing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85010164,car mechanics,Automobile mechanics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85020435,carpentry,Carpentry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85039614,carriage driving,Driving of horse-drawn vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85020515,cartography,Cartography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85020546,carving meat,"Carving (Meat, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh99001904,catechism,Catechisms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85021043,catholicism,Catholic church,roman catholic religion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85143658,cello,Cello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85022986,chemistry,Chemistry,chimistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/vocabulary/languages/chi,chinese,Chinese; Chinesisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85025219,christianity,Christianity,christian doctrine,different christian belief-systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,http://id.loc.gov/authorities/subjects/sh85025619,church history,Church history,early history of the church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
