ORLANDO TERM,Possible URI,Possible URI #2
costume drama,http://sparql.cwrc.ca/ontologies/genre#costumeDrama,
courtship fiction,http://sparql.cwrc.ca/ontologies/genre#courtshipFiction,
courtshipfiction,http://sparql.cwrc.ca/ontologies/genre#courtshipFiction,
criminology,http://sparql.cwrc.ca/ontologies/genre#criminology,
criticism,http://sparql.cwrc.ca/ontologies/genre#criticism,
dance,http://sparql.cwrc.ca/ontologies/genre#dance,
dedication,http://sparql.cwrc.ca/ontologies/genre#dedication,
detective,http://sparql.cwrc.ca/ontologies/genre#detective,
detective novel,http://sparql.cwrc.ca/ontologies/genre#detective,
devotional,http://sparql.cwrc.ca/ontologies/genre#devotional,
dialogue of the dead,http://sparql.cwrc.ca/ontologies/genre#dialogueOfTheDead,
dialogue or debate,http://sparql.cwrc.ca/ontologies/genre#dialogueOrDebate,
dialogue or debate genre,http://sparql.cwrc.ca/ontologies/genre#DialogueOrDebateGenre,
dialogueofthedead,http://sparql.cwrc.ca/ontologies/genre#dialogueOfTheDead,
dialogueordebate,http://sparql.cwrc.ca/ontologies/genre#dialogueOrDebate,
diary,http://sparql.cwrc.ca/ontologies/genre#diary,
diaspora,http://sparql.cwrc.ca/ontologies/genre#diasporic,
diasporic,http://sparql.cwrc.ca/ontologies/genre#diasporic,
dictionary,http://sparql.cwrc.ca/ontologies/genre#dictionary,
didactic,http://sparql.cwrc.ca/ontologies/genre#didactic,
didactic genre,http://sparql.cwrc.ca/ontologies/genre#DidacticGenre,
digital,http://sparql.cwrc.ca/ontologies/genre#digital,
digital medium,http://sparql.cwrc.ca/ontologies/genre#DigitalMedium,
directory,http://sparql.cwrc.ca/ontologies/genre#directory,
dissertation,http://sparql.cwrc.ca/ontologies/genre#dissertation,
document,http://sparql.cwrc.ca/ontologies/genre#document,
documentary,http://sparql.cwrc.ca/ontologies/genre#documentary,
domestic,http://sparql.cwrc.ca/ontologies/genre#domestic,
drama,http://sparql.cwrc.ca/ontologies/genre#drama,
dramatic genre,http://sparql.cwrc.ca/ontologies/genre#DramaticGenre,
dramatic monologue,http://sparql.cwrc.ca/ontologies/genre#dramaticMonologue,
dramaticmonologue,http://sparql.cwrc.ca/ontologies/genre#dramaticMonologue,
drawing,http://sparql.cwrc.ca/ontologies/genre#drawing,
dream vision,http://sparql.cwrc.ca/ontologies/genre#dreamVision,
dreamvision,http://sparql.cwrc.ca/ontologies/genre#dreamVision,
dub,http://sparql.cwrc.ca/ontologies/genre#dub,
dystopia,http://sparql.cwrc.ca/ontologies/genre#dystopia,
