RDF Type,uri,Official Label,alt label #0,alt label #1,alt label #2,alt label #3,alt label #4,alt label #5,alt label #6,alt label #7,alt label #8,alt label #9,alt label #10,alt label #11,alt label #12
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300262651,Ghanaian,ghanaian,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300266840,Pakistani,Pakistani,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300379451,Lithuanian (culture or style),lithuanian,lithuania,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300380343,Ukrainian (culture or style),ukrainian,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300386017,Corsican (culture or style),corsican,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300386387,Latvian (culture or style),latvian,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300386467,Northern Irish,northern irish,northern ireland,ulster irish protestants,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300386576,Viennese,viennese,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalIdentity,http://vocab.getty.edu/aat/300015776,Nigerian,nigerian,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalIdentity,http://vocab.getty.edu/aat/300018322,Chinese (culture or style),chinese,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalIdentity,http://vocab.getty.edu/aat/300018863,Indian (South Asian),indian,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalIdentity,http://vocab.getty.edu/aat/300021861,Australian,australian,australia,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalIdentity,http://vocab.getty.edu/aat/300021959,New Zealand,new zealander,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalIdentity,http://vocab.getty.edu/aat/300107950,Jamaican,jamaican,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalIdentity,http://vocab.getty.edu/aat/300107956,American (North American),american,america,usa,us,united states,,,,,,,,
http://id.lincsproject.ca/identity/NationalIdentity,http://vocab.getty.edu/aat/300107962,Canadian,canadian,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalIdentity,http://vocab.getty.edu/aat/300107963,Mexican,Mexico,Mexican,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalIdentity,http://vocab.getty.edu/aat/300111159,British (modern),british,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalIdentity,http://vocab.getty.edu/aat/300111172,Danish (culture or style),danish,denmark,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalIdentity,http://vocab.getty.edu/aat/300111178,English (culture or style),english,englishwoman,england,english born,english father,half english,northern english,anglo,,,,,
http://id.lincsproject.ca/identity/NationalIdentity,http://vocab.getty.edu/aat/300111188,French (culture or style),french,french extraction,french mother,half french,,,,,,,,,
http://id.lincsproject.ca/identity/NationalIdentity,http://vocab.getty.edu/aat/300111192,"German (culture, style, period)",german,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalIdentity,http://vocab.getty.edu/aat/300111195,Hungarian,hungarian,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalIdentity,http://vocab.getty.edu/aat/300111198,Italian (culture or style),italian,italy,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalIdentity,http://vocab.getty.edu/aat/300111212,Scottish,scottish,scots,scotswoman,scotland,half scots,scotch,shetland,scot,,,,,
http://id.lincsproject.ca/identity/NationalIdentity,http://vocab.getty.edu/aat/300111215,Spanish (culture or style),spanish,spain,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalIdentity,http://vocab.getty.edu/aat/300111225,Welsh (culture or style),welsh,welsh extraction,Welsh lineage (ancient descent though little money on both sides of her family).,Walsh,welshwoman,,,,,,,,
http://id.lincsproject.ca/identity/NationalIdentity,http://vocab.getty.edu/aat/300111259,Irish,irish,irishwoman,half irish,ireland,irishness,,,,,,,,
http://id.lincsproject.ca/identity/NationalIdentity,http://vocab.getty.edu/aat/300111276,Russian (culture or style),russian,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalIdentity,http://vocab.getty.edu/aat/300262654,Kenyan,kenyan,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalIdentity,http://vocab.getty.edu/aat/300262699,Algerian,algerian,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalIdentity,http://vocab.getty.edu/aat/300262706,South African,south african,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalIdentity,http://vocab.getty.edu/aat/300266840,Pakistani,Pakistani,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalIdentity,http://vocab.getty.edu/aat/300386124,Genoese,genoese,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalIdentity,http://vocab.getty.edu/aat/300386129,Guyanese,guyanan,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalIdentity,http://vocab.getty.edu/aat/300386467,Northern Irish,northern irish,northern ireland,ulster irish protestants,,,,,,,,,,
