File,ID,Project ID,Record Creation Date,Record Change Date,Preferred Name,Displayed Name,Orlando Standard Name,SameAs Wikidata,SameAs VIAF,SameAs Getty,Alternate Name,Alternate Names,Historic Name,CWRC URI,Primary URI,Secondary URI
orlando_7053282b-c4e5-4f95-8ae5-1ef3682b8b46,7053282b-c4e5-4f95-8ae5-1ef3682b8b46,orlando,2020-09-02,2020-09-02,London Female Mission,,London Female Mission,,,,,,,https://commons.cwrc.ca/orlando:7053282b-c4e5-4f95-8ae5-1ef3682b8b46,https://commons.cwrc.ca/orlando:7053282b-c4e5-4f95-8ae5-1ef3682b8b46,
orlando_705402b8-a827-4ea4-9b3f-78a4282544eb,705402b8-a827-4ea4-9b3f-78a4282544eb,orlando,2020-09-02,2020-09-02,J. and E. Bumpus,,J. and E. Bumpus,,,,Bumpus | John and Edward Bumpus,,,https://commons.cwrc.ca/orlando:705402b8-a827-4ea4-9b3f-78a4282544eb,https://commons.cwrc.ca/orlando:705402b8-a827-4ea4-9b3f-78a4282544eb,
orlando_705b2a6c-39ba-4874-b034-974cea75cf25,705b2a6c-39ba-4874-b034-974cea75cf25,orlando,2020-09-02,2020-09-02,Getty Center for the History of Art and Humanities,,Getty Center for the History of Art and Humanities,,http://viaf.org/viaf/149898360 | http://viaf.org/viaf/313145078 | http://viaf.org/viaf/152386282 | http://viaf.org/viaf/125395425 | http://viaf.org/viaf/4895147373421341580007 | http://viaf.org/viaf/9195156012395149700006,,,,,https://commons.cwrc.ca/orlando:705b2a6c-39ba-4874-b034-974cea75cf25,http://viaf.org/viaf/149898360,http://viaf.org/viaf/313145078
orlando_7082b8c3-4c04-4c6b-8c4f-33d02342b619,7082b8c3-4c04-4c6b-8c4f-33d02342b619,orlando,2020-09-02,2020-09-02,California State University,,California State University,http://www.wikidata.org/entity/Q815352,,,,,,https://commons.cwrc.ca/orlando:7082b8c3-4c04-4c6b-8c4f-33d02342b619,http://www.wikidata.org/entity/Q815352,
orlando_708c321b-9530-4aa3-b49c-b7dc3a3f816b,708c321b-9530-4aa3-b49c-b7dc3a3f816b,orlando,2020-09-03,2020-09-03,World Health Organization,,World Health Organization,,http://viaf.org/viaf/135618969,,World Health Authority | United Nations Relief and Rehabilitation Administration | UNRRA | UN Relief and Rehabilitation Administration,,,https://commons.cwrc.ca/orlando:708c321b-9530-4aa3-b49c-b7dc3a3f816b,http://viaf.org/viaf/135618969,
orlando_70936b1c-1cd8-4410-972e-ea95f830e434,70936b1c-1cd8-4410-972e-ea95f830e434,orlando,2020-09-03,2020-09-03,Universal Negro Improvement Association,,Universal Negro Improvement Association,,http://viaf.org/viaf/264467940 | http://viaf.org/viaf/9987168517328771980007,,,,,https://commons.cwrc.ca/orlando:70936b1c-1cd8-4410-972e-ea95f830e434,http://viaf.org/viaf/264467940,
orlando_70a0928b-d31d-4c4f-971f-f5e4e1cdeedf,70a0928b-d31d-4c4f-971f-f5e4e1cdeedf,orlando,2020-09-03,2020-09-03,Yarmouth Prison,,Yarmouth Prison,,,,,,,https://commons.cwrc.ca/orlando:70a0928b-d31d-4c4f-971f-f5e4e1cdeedf,https://commons.cwrc.ca/orlando:70a0928b-d31d-4c4f-971f-f5e4e1cdeedf,
orlando_70a23dd4-c716-42a5-ba64-fc33b06eb2a7,70a23dd4-c716-42a5-ba64-fc33b06eb2a7,orlando,2020-09-03,2020-09-03,"St Paul's School, New Hampshire","St Paul's School, New Hampshire","St Paul's School,, New Hampshire",http://www.wikidata.org/entity/Q906930,,,,,,https://commons.cwrc.ca/orlando:70a23dd4-c716-42a5-ba64-fc33b06eb2a7,http://www.wikidata.org/entity/Q906930,
orlando_70a9b1cd-956b-45b4-950a-baa6dcdaef56,70a9b1cd-956b-45b4-950a-baa6dcdaef56,orlando,2020-09-02,2020-09-02,Herean Games,,Herean Games,,,,,,,https://commons.cwrc.ca/orlando:70a9b1cd-956b-45b4-950a-baa6dcdaef56,https://commons.cwrc.ca/orlando:70a9b1cd-956b-45b4-950a-baa6dcdaef56,
orlando_70b18ab3-98bc-4fef-ac3b-8e6ddb30a36e,70b18ab3-98bc-4fef-ac3b-8e6ddb30a36e,orlando,2020-09-02,2020-09-02,International Working Men's Association,,International Working Men's Association,,http://viaf.org/viaf/159993066 | http://viaf.org/viaf/130834782 | http://viaf.org/viaf/130915586,,,,,https://commons.cwrc.ca/orlando:70b18ab3-98bc-4fef-ac3b-8e6ddb30a36e,http://viaf.org/viaf/159993066,http://viaf.org/viaf/130834782
orlando_70b28d86-4404-48b5-b278-854b657cbbb4,70b28d86-4404-48b5-b278-854b657cbbb4,orlando,2020-09-02,2020-09-02,"Darwin College, Cambridge University","Darwin College, Cambridge University","Darwin College,, Cambridge University",,,,,,,https://commons.cwrc.ca/orlando:70b28d86-4404-48b5-b278-854b657cbbb4,https://commons.cwrc.ca/orlando:70b28d86-4404-48b5-b278-854b657cbbb4,
orlando_70b93a70-bceb-47f0-9780-60b7f7d86b62,70b93a70-bceb-47f0-9780-60b7f7d86b62,orlando,2020-09-03,2020-09-03,Three Arts Club,,Three Arts Club,,http://viaf.org/viaf/157359761,,,,,https://commons.cwrc.ca/orlando:70b93a70-bceb-47f0-9780-60b7f7d86b62,http://viaf.org/viaf/157359761,
orlando_70c0fc71-6346-4a2f-8f22-8bc3cb44a9fb,70c0fc71-6346-4a2f-8f22-8bc3cb44a9fb,orlando,2020-09-02,2020-09-02,American Association of Educators of Colored Youth,,American Association of Educators of Colored Youth,,,,,,,https://commons.cwrc.ca/orlando:70c0fc71-6346-4a2f-8f22-8bc3cb44a9fb,https://commons.cwrc.ca/orlando:70c0fc71-6346-4a2f-8f22-8bc3cb44a9fb,
