"Library of Congress subject heading identifier",,"Library of Congress subject heading label",Variant 1,Variant 2,Variant 3,Variant 4,Variant 5,Variant 6,Variant 7,Variant 8,Variant 9,Variant 10,Variant 11,Variant 12,Variant 13,Variant 14,Variant 15,Variant 16,Variant 17,Variant 18,Variant 19
http://id.loc.gov/authorities/subjects/sh85061212,history,History,historical,english history,european history,french history,history of france,british history,american history,italian culture and history,italian history,medieval history,middle eastern history,scottish history,,,,,,,
http://id.loc.gov/authorities/subjects/sh85062144,horsemanship,Horsemanship,horse management,horseback riding,grooming and schooling horses,riding,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85062289,hospital administration,Hospitals--Administration,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh97003594,house-keeping,Housekeeping,household accomplishments,household management,household skills,house keeping,housework,laundry,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85062913,humanities,Humanities,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85063493,hydrostatics,Hydrostatics,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/ice,icelandic,Icelandic,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85064050,ichthyology,Icthyology,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85066752,instruction,Instruction,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85068101,irish,Irish language,irish language,irish gaelic,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85067971,irish civilization,Ireland Civilization,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85068032,irish constitution,Ireland--Politics and government,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85068390,islamic studies,Islam,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85068806,italian,Italian language,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85007718,italian art,Italian art,italian artists,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85068816,italian literature,Italian literature,italian literatures,italian renaissance literature,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85070736,journalism,Journalism,news writing,,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/kan,kanarese,Kannada,kannada,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85072707,knitting,Knitting,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh2002006384,languages,Languages,language,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85074944,latin,Latin language,"latin,",latin languages,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85075145,law,Law--Study and teaching,legal studies,law of property,estates,marriage settlements,matrimonial law,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh95001341,lesbian and gay historical fiction,Gay and lesbian studies,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85076220,letter-writing,Letter writing,letter writing,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85076723,librarianship,Library science,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85077222,linguistics,Linguistics,prosody,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85077319,lip reading,Lipreading,lipreading,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85034149,literary criticism,Criticism,,,,,,,,,,,,,,,,,,,
